Sr.No,"School Code","School Name",City,E3,M3,S3,E4,M4,S4,E5,M5,S5,E6,M6,S6,E7,M7,S7,E8,M8,S8,E9,M9,S9,E10,M10,S10,SS5,SS6,SS7,SS8,SS9,SS10,H4,H5,H6,H7,H8,Flag
28,2456473,"N.E.T. Public School, ICSE",Bangalore,114,114,114,81,81,81,77,77,77,81,81,81,73,73,73,50,50,50,39,39,39,33,33,33,0,0,0,0,0,0,0,0,0,0,0
29,2470230,"The Samhita Academy",Bangalore,112,112,112,121,121,121,78,78,78,87,87,87,72,72,72,53,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2473155,"Sunbeam School, Indiranagar",Varanasi,94,94,94,103,103,103,89,89,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2474876,"Harvest International School",Bangalore,156,156,156,138,138,138,109,109,109,93,93,93,82,82,82,58,58,58,48,48,48,38,38,38,109,93,82,58,48,38,0,0,0,0,0
32,2513220,"D. N. Nagar M.P.S.",Mumbai,36,36,36,35,35,35,34,34,34,32,32,32,32,32,32,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2548143,"Padma Seshadri Bala Bhavan School",Chennai,112,112,112,104,104,104,85,85,85,78,78,78,61,61,61,43,43,43,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2565760,"Suchitra Academy",Hyderabad,51,54,53,45,48,49,33,38,32,22,28,27,10,15,10,18,17,18,24,24,24,10,10,9,5,7,1,2,5,7,4,4,1,0,2
35,2746519,"Sitaram Mills MPS",Mumbai,35,35,35,33,33,33,35,35,35,33,33,33,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,3210065,"GEMS Cambridge International School",Hoshiarpur,10,10,10,5,5,5,3,3,3,7,7,7,5,5,5,5,5,5,1,1,1,3,3,3,2,3,1,1,0,0,6,1,4,0,3
37,3286324,"Deens Academy - Gunjur",Bangalore,60,60,60,54,54,54,56,56,56,41,41,41,28,28,28,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,3347997,"Redbridge International Academy",Bangalore,23,23,23,14,14,14,14,14,14,10,10,10,10,10,10,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,3389595,"Tree House High School, Mahalunge",Pune,41,41,41,28,28,28,13,13,13,19,19,19,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,3392560,"Wadibunder MPS School ",Mumbai,34,34,34,34,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,3392733,"Natwar Nagar MPS ",Mumbai,37,37,37,39,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,3392859,"Mahalaxmi MPS ",Mumbai,35,35,35,35,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,3392980,"Laxminagar MPS ",Mumbai,38,38,38,33,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,3438859,"Mahatma Jyotiba Phule MPS",Mumbai,96,96,96,94,94,94,102,102,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
