Sr.No,"School Code","School Name",City,E3,M3,S3,H3,SS3,E4,M4,S4,H4,SS4,E5,M5,S5,H5,SS5,E6,M6,S6,H6,SS6,E7,M7,S7,H7,SS7,E8,M8,S8,H8,SS8,E9,M9,S9,H9,SS9,E10,M10,S10,H10,SS10
1,399475,"St. Francis De Sales School-Narengi",Guwahati,153,153,153,0,0,153,153,153,0,0,148,148,148,0,0,150,150,150,0,0,140,140,140,0,0,146,146,146,0,0,124,124,124,0,0,124,124,124,0,0,0,0,0,0,0
2,435512,"Mezhur Higher Secondary School",Kohima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,177,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1737197,"Good Shepherd Public School",Itanagar,22,22,22,0,0,13,13,13,0,0,25,25,25,0,0,34,34,34,1,0,38,38,38,0,0,52,52,52,3,2,59,59,59,0,1,32,32,32,0,3
4,2474876,"Harvest International School",Bangalore,158,158,158,0,0,139,139,139,0,0,109,109,109,0,109,93,93,93,0,93,82,82,82,0,82,56,56,56,0,56,46,46,46,0,46,38,38,38,0,38
5,2565760,"Suchitra Academy",Hyderabad,51,54,53,0,0,45,48,49,4,0,33,38,32,4,5,22,28,27,1,7,10,15,10,0,1,18,17,18,2,2,24,24,24,0,5,10,10,9,0,7
6,3448345,"Ruda Academy",Thoubal,0,10,0,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
