Sr.No,"School Code","School Name",City,E3,M3,S3,H3,SS3,E4,M4,S4,H4,SS4,E5,M5,S5,H5,SS5,E6,M6,S6,H6,SS6,E7,M7,S7,H7,SS7,E8,M8,S8,H8,SS8,E9,M9,S9,H9,SS9,E10,M10,S10,H10,SS10
1,9912,"DDMS(AMS) - P Obul Reddy Public School",Hyderabad,27,63,20,0,0,27,34,21,2,0,34,73,36,4,0,24,48,31,0,6,23,42,29,0,8,23,64,48,1,7,17,25,32,0,2,16,19,23,0,4
2,10316,"Mahadevi Birla World Academy",Kolkata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,230,230,0,0,247,247,247,0,0,238,238,238,0,0,0,0,0,0,0,0,0,0,0,0
3,10565,"St. Kabir School, Naranpura",Ahmedabad,117,117,5,0,0,100,100,10,3,0,65,74,15,1,2,118,118,6,1,1,92,92,11,1,2,98,114,27,0,2,5,6,6,0,1,2,2,3,0,0
4,10698,"St. Kabir School, Navrangpura",Ahmedabad,79,79,0,0,0,87,87,0,0,0,2,4,3,1,1,10,17,10,0,3,3,10,5,0,0,5,13,12,0,1,1,4,2,0,1,0,0,0,0,0
