Sr.No,"School Code","School Name",City,E3,M3,S3,H3,SS3,E4,M4,S4,H4,SS4,E5,M5,S5,H5,SS5,E6,M6,S6,H6,SS6,E7,M7,S7,H7,SS7,E8,M8,S8,H8,SS8,E9,M9,S9,H9,SS9,E10,M10,S10,H10,SS10
1,10316,"Mahadevi Birla World Academy",Kolkata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,245,245,0,0,239,239,239,0,0,247,247,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,401318,"National English School",Kolkata,5,19,0,0,0,21,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,495578,"St. Xavier^s School",Hazaribag,206,206,206,0,0,208,208,208,0,0,206,206,206,0,0,205,205,205,0,0,206,206,206,0,0,191,191,191,0,0,199,199,199,0,0,199,199,199,0,0
4,667880,"Bidya Bharati School, Mominpore",Kolkata,95,95,95,0,0,101,101,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,673276,"The Pentecostal Assembly School",Bokaro,102,102,102,0,0,149,149,149,0,0,142,142,142,0,0,156,156,156,0,0,155,155,155,0,0,149,149,149,0,0,146,146,146,0,0,148,148,148,0,0
6,3147043,"Delhi Public School ",Durgapur,15,15,15,0,0,7,7,7,0,0,11,11,11,2,1,11,11,11,1,2,8,8,8,0,1,0,0,0,0,0,0,0,0,0,0,5,5,5,0,2
7,3197319,"Adamas World School, Barasat",Barasat,44,44,44,0,0,49,49,49,0,0,49,49,49,0,0,41,41,41,0,0,22,22,22,0,0,21,21,21,0,0,6,6,6,0,0,8,8,8,0,0
8,3495816,"Young Horizons School, campus II",Kolkata,45,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
