Sr.No,"School Code","School Name",City,E3,M3,S3,H3,SS3,E4,M4,S4,H4,SS4,E5,M5,S5,H5,SS5,E6,M6,S6,H6,SS6,E7,M7,S7,H7,SS7,E8,M8,S8,H8,SS8,E9,M9,S9,H9,SS9,E10,M10,S10,H10,SS10
1,9912,"DDMS(AMS) - P Obul Reddy Public School",Hyderabad,27,63,20,0,0,27,34,21,2,0,34,73,36,4,0,24,48,31,0,6,23,42,29,0,8,23,64,48,1,7,17,25,32,0,2,16,19,23,0,4
2,10316,"Mahadevi Birla World Academy",Kolkata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,230,230,0,0,247,247,247,0,0,238,238,238,0,0,0,0,0,0,0,0,0,0,0,0
3,34097,"Sunbeam English School, Bhagwanpur",Varanasi,257,257,257,0,0,255,255,255,0,0,251,251,251,0,0,277,277,277,0,0,283,283,283,0,0,320,320,320,0,0,326,326,326,0,0,341,341,341,0,0
