Sr.No,"School Code","School Name",City,E3,M3,S3,H3,SS3,E4,M4,S4,H4,SS4,E5,M5,S5,H5,SS5,E6,M6,S6,H6,SS6,E7,M7,S7,H7,SS7,E8,M8,S8,H8,SS8,E9,M9,S9,H9,SS9,E10,M10,S10,H10,SS10
1,19872,"Padma Seshadri Bala Bhavan Senior Secondary School, K.K.Nagar",Chennai,342,342,342,0,0,329,329,329,0,0,341,341,341,0,0,335,335,335,0,0,326,326,326,0,0,342,342,342,0,0,338,338,338,0,0,0,0,0,0,0
2,19966,"Padma Seshadri Bala Bhavan Senior Secondary School",Chennai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,120,120,0,0,0,0,0,0,0
3,32471,"Tree House High School (GSEB)",Vadodara,70,70,70,0,0,73,73,73,0,0,65,65,65,0,0,54,54,54,0,0,70,70,70,0,0,53,53,53,0,0,59,59,59,0,0,0,0,0,0,0
