Sr.No,"School Code","School Name",City,E3,M3,S3,H3,SS3,E4,M4,S4,H4,SS4,E5,M5,S5,H5,SS5,E6,M6,S6,H6,SS6,E7,M7,S7,H7,SS7,E8,M8,S8,H8,SS8,E9,M9,S9,H9,SS9,E10,M10,S10,H10,SS10
1,147,"Nath Valley School",Aurangabad,0,0,0,0,0,108,108,108,0,0,0,0,0,0,0,108,108,108,0,0,0,0,0,0,0,112,112,112,0,0,112,112,112,0,0,0,0,0,0,0
2,2672,"Delhi Public School",Jodhpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,289,289,0,0,0,0,0,0,0,309,309,309,0,0,0,0,0,0,0,0,0,0,0,0
3,3033,"Bluebells School International","New Delhi",161,161,161,0,0,152,152,152,0,0,127,127,127,0,0,114,114,114,0,0,135,135,135,0,0,140,140,140,0,0,128,128,128,0,0,107,107,107,0,0
4,3622,"Amity International School, Saket","New Delhi",57,57,57,0,0,37,37,37,36,0,30,31,32,30,31,22,22,22,22,22,22,22,22,22,22,8,8,8,8,8,9,9,10,0,8,11,11,11,0,11
5,4899,"The Sudarshan Vidya Mandir ICSE Academy",Bangalore,190,190,190,0,0,188,188,188,0,0,145,145,145,0,0,141,141,141,0,0,138,138,138,0,0,102,102,102,0,0,0,0,0,0,0,0,0,0,0,0
